
This file contains the actual data for your assignment - good luck!
Name	Comments
Nikolai	98
Darren	96
Kaela	95
Rajveer	94
Bryoni	94
Rybecca	92
Ruan	92
Amnah	90
Cameron	87
Darragh	87
Grayson	86
Tre	86
Seonag	80
Martha	76
Maryam	76
Muireann	75
Charleigh	74
Igor	71
Zuriel	68
Eaden	66
Rubhan	66
Pippa	64
Monta	63
Oluwatobiloba	59
Jaxson	58
Mandy	53
Elyan	53
Erina	49
Briony	48
Ioannis	43
Lauri	42
Ceara	41
Aurelia	40
Vivian	40
Fasai	38
Hassan	36
Reuben	36
Daragh	29
Aleah	27
Elisabetta	23
Darby	22
Sabah	19
Sukhmani	18
Zoubaeir	17
Ambreen	14
Dugald	13
Nikodem	12
Tye	7
Tamarah	6
Abu	4
http://py4e-data.dr-chuck.net/comments_2367702.html
